HEAD|fmin
fmin.i|99|92|1471|1440|-5.69
HEAD|rkf45
fehl.i|24|18|190,080|191,928|-17.06
rkfs.i|81|72|83,104|83,286|-6.43
rkf45.i|0|0|975|975|-20.51
HEAD|seval
spline.i|12|12|1,180|1,179|-11.45
seval.i|0|0|104|105|-5.71
HEAD|solve
decomp.i|25|27|794|811|-10.60
solve.i|0|0|412|412|-7.28
HEAD|svd
svd.i|214|206|5,991|5,981|-12.36
HEAD|urand
urand.i|10|4|867|808|-14.73
HEAD|zeroin
zeroin.i|56|45|1,117|1,147|-13.95
HEAD|doduc
bilan.i|98|63||258,361|-10.07
colbur.i||73||411,710|-6.10
ddeflu.i|643|476||692,169|-14.16
drigl.i||58||143,284|-5.33
repvid.i||108||234,600|-10.07
HEAD|fpppp
efill.i||208||3,339,217|-2.65
